Student no: 101, Name: Alice, Total Marks: 510, City: Hyderabad
Student no: 103, Name: Charlie, Total Marks: 470, City: Hyderabad
Student no: 105, Name: Eve, Total Marks: 501, City: Hyderabad
Student no: 107, Name: Grace, Total Marks: 479, City: Hyderabad
Student no: 109, Name: Irene, Total Marks: 549, City: Hyderabad
Student no: 111, Name: Kate, Total Marks: 521, City: Hyderabad
Student no: 113, Name: Megan, Total Marks: 565, City: Hyderabad
Student no: 115, Name: Olivia, Total Marks: 456, City: Hyderabad
Student no: 117, Name: Quinn, Total Marks: 484, City: Hyderabad
Student no: 119, Name: Sam, Total Marks: 508, City: Hyderabad
Student no: 121, Name: Uma, Total Marks: 558, City: Hyderabad
Student no: 123, Name: Wendy, Total Marks: 502, City: Hyderabad
Student no: 125, Name: Yvonne, Total Marks: 532, City: Hyderabad
Student no: 127, Name: Amy, Total Marks: 520, City: Hyderabad
Student no: 129, Name: Cindy, Total Marks: 496, City: Hyderabad
Student no: 131, Name: Emily, Total Marks: 549, City: Hyderabad
Student no: 133, Name: Gina, Total Marks: 490, City: Hyderabad
Student no: 135, Name: Izzy, Total Marks: 483, City: Hyderabad
Student no: 137, Name: Kim, Total Marks: 460, City: Hyderabad
Student no: 139, Name: Molly, Total Marks: 499, City: Hyderabad
Student no: 141, Name: Ollie, Total Marks: 472, City: Hyderabad
Student no: 143, Name: Ryan, Total Marks: 493, City: Hyderabad
